family,Both Active,Both Inactive,Sb Active / Zm Inactive,Zm Active / Sb Inactive,Total,Prop_Both_Active,Prop_Both_Inactive,Prop_Sb_Active__Zm_Inactive,Prop_Zm_Active__Sb_Inactive
ERF,110,30,12,16,168,0.6548,0.1786,0.0714,0.0952
bHLH,90,40,16,11,157,0.5732,0.2548,0.1019,0.0701
MYB,118,12,18,8,156,0.7564,0.0769,0.1154,0.0513
NAC,77,15,11,7,110,0.7,0.1364,0.1,0.0636
bZIP,60,29,14,5,108,0.5556,0.2685,0.1296,0.0463
WRKY,54,36,8,9,107,0.5047,0.3364,0.0748,0.0841
GRAS,56,9,6,9,80,0.7,0.1125,0.075,0.1125
MYB_related,21,29,14,8,72,0.2917,0.4028,0.1944,0.1111
HD-ZIP,26,20,1,6,53,0.4906,0.3774,0.0189,0.1132
B3,8,22,10,7,47,0.1702,0.4681,0.2128,0.1489
G2-like,12,24,7,3,46,0.2609,0.5217,0.1522,0.0652
C3H,6,30,5,3,44,0.1364,0.6818,0.1136,0.0682
MIKC_MADS,15,22,5,0,42,0.3571,0.5238,0.119,0.0
Trihelix,1,26,2,10,39,0.0256,0.6667,0.0513,0.2564
Dof,15,15,2,4,36,0.4167,0.4167,0.0556,0.1111
ARF,20,3,2,7,32,0.625,0.0938,0.0625,0.2188
GATA,13,10,3,6,32,0.4062,0.3125,0.0938,0.1875
LBD,3,17,4,7,31,0.0968,0.5484,0.129,0.2258
SBP,15,12,2,1,30,0.5,0.4,0.0667,0.0333
TALE,10,10,3,5,28,0.3571,0.3571,0.1071,0.1786
AP2,13,7,3,4,27,0.4815,0.2593,0.1111,0.1481
HSF,15,4,0,4,23,0.6522,0.1739,0.0,0.1739
TCP,5,14,0,3,22,0.2273,0.6364,0.0,0.1364
M-type_MADS,4,10,6,1,21,0.1905,0.4762,0.2857,0.0476
C2H2,3,15,2,1,21,0.1429,0.7143,0.0952,0.0476
ZF-HD,0,16,0,3,19,0.0,0.8421,0.0,0.1579
WOX,6,3,7,1,17,0.3529,0.1765,0.4118,0.0588
GeBP,2,14,0,0,16,0.125,0.875,0.0,0.0
NF-YC,1,11,1,2,15,0.0667,0.7333,0.0667,0.1333
NF-YB,1,7,4,2,14,0.0714,0.5,0.2857,0.1429
ARR-B,8,0,3,2,13,0.6154,0.0,0.2308,0.1538
NF-YA,2,8,2,1,13,0.1538,0.6154,0.1538,0.0769
GRF,1,7,2,2,12,0.0833,0.5833,0.1667,0.1667
CO-like,12,0,0,0,12,1.0,0.0,0.0,0.0
DBB,8,2,1,0,11,0.7273,0.1818,0.0909,0.0
YABBY,2,7,0,2,11,0.1818,0.6364,0.0,0.1818
BES1,2,8,0,1,11,0.1818,0.7273,0.0,0.0909
Nin-like,8,1,1,1,11,0.7273,0.0909,0.0909,0.0909
CPP,3,5,2,0,10,0.3,0.5,0.2,0.0
SRS,0,9,0,1,10,0.0,0.9,0.0,0.1
E2F/DP,2,6,0,1,9,0.2222,0.6667,0.0,0.1111
EIL,6,1,0,0,7,0.8571,0.1429,0.0,0.0
CAMTA,7,0,0,0,7,1.0,0.0,0.0,0.0
HB-other,3,2,0,0,5,0.6,0.4,0.0,0.0
HB-PHD,3,0,2,0,5,0.6,0.0,0.4,0.0
LSD,0,5,0,0,5,0.0,1.0,0.0,0.0
FAR1,3,1,0,0,4,0.75,0.25,0.0,0.0
RAV,0,3,0,0,3,0.0,1.0,0.0,0.0
VOZ,3,0,0,0,3,1.0,0.0,0.0,0.0
BBR-BPC,0,3,0,0,3,0.0,1.0,0.0,0.0
LFY,0,0,0,2,2,0.0,0.0,0.0,1.0
Whirly,0,2,0,0,2,0.0,1.0,0.0,0.0
S1Fa-like,0,1,0,0,1,0.0,1.0,0.0,0.0
