family,Both Active,Both Inactive,Sb Active / Zm Inactive,Zm Active / Sb Inactive,Total,Prop_Both_Active,Prop_Both_Inactive,Prop_Sb_Active__Zm_Inactive,Prop_Zm_Active__Sb_Inactive
ERF,76,6,1,4,87,0.8736,0.069,0.0115,0.046
bHLH,31,9,0,1,41,0.7561,0.2195,0.0,0.0244
MYB,68,4,1,0,73,0.9315,0.0548,0.0137,0.0
NAC,38,2,1,0,41,0.9268,0.0488,0.0244,0.0
bZIP,23,10,4,0,37,0.6216,0.2703,0.1081,0.0
WRKY,29,10,1,1,41,0.7073,0.2439,0.0244,0.0244
GRAS,25,0,0,0,25,1.0,0.0,0.0,0.0
MYB_related,7,11,0,0,18,0.3889,0.6111,0.0,0.0
HD-ZIP,8,4,0,0,12,0.6667,0.3333,0.0,0.0
B3,3,2,0,0,5,0.6,0.4,0.0,0.0
G2-like,2,4,2,0,8,0.25,0.5,0.25,0.0
C3H,0,8,0,0,8,0.0,1.0,0.0,0.0
MIKC_MADS,3,10,0,0,13,0.2308,0.7692,0.0,0.0
Trihelix,0,7,0,1,8,0.0,0.875,0.0,0.125
Dof,7,3,0,0,10,0.7,0.3,0.0,0.0
ARF,5,0,0,0,5,1.0,0.0,0.0,0.0
GATA,8,3,0,1,12,0.6667,0.25,0.0,0.0833
LBD,0,3,0,0,3,0.0,1.0,0.0,0.0
SBP,2,2,0,0,4,0.5,0.5,0.0,0.0
TALE,0,3,0,0,3,0.0,1.0,0.0,0.0
AP2,5,0,0,0,5,1.0,0.0,0.0,0.0
HSF,6,0,0,1,7,0.8571,0.0,0.0,0.1429
TCP,0,1,0,0,1,0.0,1.0,0.0,0.0
M-type_MADS,0,0,1,0,1,0.0,0.0,1.0,0.0
C2H2,1,3,0,0,4,0.25,0.75,0.0,0.0
ZF-HD,0,11,0,0,11,0.0,1.0,0.0,0.0
WOX,0,0,0,0,0,0.0,0.0,0.0,0.0
GeBP,0,2,0,0,2,0.0,1.0,0.0,0.0
NF-YC,1,2,0,0,3,0.3333,0.6667,0.0,0.0
NF-YB,0,1,0,0,1,0.0,1.0,0.0,0.0
ARR-B,5,0,0,0,5,1.0,0.0,0.0,0.0
NF-YA,0,1,0,0,1,0.0,1.0,0.0,0.0
GRF,0,3,0,0,3,0.0,1.0,0.0,0.0
CO-like,6,0,0,0,6,1.0,0.0,0.0,0.0
DBB,3,0,0,0,3,1.0,0.0,0.0,0.0
YABBY,0,2,0,0,2,0.0,1.0,0.0,0.0
BES1,0,1,0,0,1,0.0,1.0,0.0,0.0
Nin-like,4,0,0,0,4,1.0,0.0,0.0,0.0
CPP,0,1,0,0,1,0.0,1.0,0.0,0.0
SRS,0,4,0,0,4,0.0,1.0,0.0,0.0
E2F/DP,1,0,0,0,1,1.0,0.0,0.0,0.0
EIL,2,0,0,0,2,1.0,0.0,0.0,0.0
CAMTA,1,0,0,0,1,1.0,0.0,0.0,0.0
HB-other,0,0,0,0,0,0.0,0.0,0.0,0.0
HB-PHD,1,0,0,0,1,1.0,0.0,0.0,0.0
LSD,0,4,0,0,4,0.0,1.0,0.0,0.0
FAR1,1,0,0,0,1,1.0,0.0,0.0,0.0
RAV,0,1,0,0,1,0.0,1.0,0.0,0.0
VOZ,3,0,0,0,3,1.0,0.0,0.0,0.0
BBR-BPC,0,0,0,0,0,0.0,0.0,0.0,0.0
LFY,0,0,0,0,0,0.0,0.0,0.0,0.0
Whirly,0,0,0,0,0,0.0,0.0,0.0,0.0
S1Fa-like,0,1,0,0,1,0.0,1.0,0.0,0.0
