Gene,Count
Sobic.001G006600,170
Sobic.001G007200,1999
Sobic.001G009200,1633
Sobic.001G016600,61
Sobic.001G023900,2550
Sobic.001G026500,864
Sobic.001G033200,1511
Sobic.001G034300,2463
Sobic.001G035000,2124
Sobic.001G035100,1710
Sobic.001G036800,324
Sobic.001G039800,2871
Sobic.001G040200,3164
Sobic.001G041500,1352
Sobic.001G049800,464
Sobic.001G051300,22
Sobic.001G056300,310
Sobic.001G056700,1717
Sobic.001G057700,2471
Sobic.001G066100,75
Sobic.001G068301,1261
Sobic.001G069400,306
Sobic.001G070600,3064
Sobic.001G071000,1016
Sobic.001G075900,28
Sobic.001G077800,211
Sobic.001G078700,42
Sobic.001G078900,1414
Sobic.001G079500,1700
Sobic.001G083000,616
Sobic.001G084000,3375
Sobic.001G086400,3
Sobic.001G086500,1492
Sobic.001G088100,1545
Sobic.001G093200,3819
Sobic.001G095500,641
Sobic.001G095700,3221
Sobic.001G100100,362
Sobic.001G102300,1134
Sobic.001G105000,327
Sobic.001G107400,2067
Sobic.001G109100,1123
Sobic.001G110900,234
Sobic.001G118100,1912
Sobic.001G119700,451
Sobic.001G120900,2641
Sobic.001G127200,479
Sobic.001G127800,2746
Sobic.001G132200,3
Sobic.001G135400,3171
Sobic.001G137100,470
Sobic.001G137300,1888
Sobic.001G139800,449
Sobic.001G140200,481
Sobic.001G140900,583
Sobic.001G141100,527
Sobic.001G148000,254
Sobic.001G149000,349
Sobic.001G150650,2274
Sobic.001G154500,3248
Sobic.001G156900,93
Sobic.001G157400,529
Sobic.001G158500,4898
Sobic.001G158900,3772
Sobic.001G159500,418
Sobic.001G162100,1281
Sobic.001G165000,12
Sobic.001G165100,7
Sobic.001G166100,4
Sobic.001G166700,46
Sobic.001G169200,1140
Sobic.001G174100,856
Sobic.001G179300,1378
Sobic.001G181100,12
Sobic.001G190000,231
Sobic.001G194600,1304
Sobic.001G204400,596
Sobic.001G206300,1022
Sobic.001G217200,10
Sobic.001G217300,1552
Sobic.001G227900,9
