SorghumGene,Ortholog
Sobic.003G096750,Zm00001eb334630
Sobic.003G096750,Zm00001eb334640
Sobic.003G096750,Zm00001eb334650
Sobic.003G096750,Zm00001eb334670
Sobic.003G096750,Zm00001eb334680
Sobic.003G096750,Zm00001eb334690
Sobic.003G096750,Zm00001eb334700
Sobic.003G096750,Zm00001eb334710
Sobic.003G096750,Zm00001eb334730
Sobic.003G096750,Zm00001eb334720
Sobic.003G096400,Zm00001eb334630
Sobic.003G096400,Zm00001eb334640
Sobic.003G096400,Zm00001eb334650
Sobic.003G096400,Zm00001eb334670
Sobic.003G096400,Zm00001eb334680
Sobic.003G096400,Zm00001eb334690
Sobic.003G096400,Zm00001eb334700
Sobic.003G096400,Zm00001eb334710
Sobic.003G096400,Zm00001eb334730
Sobic.003G096400,Zm00001eb334720
Sobic.003G097100,Zm00001eb334630
Sobic.003G097100,Zm00001eb334640
Sobic.003G097100,Zm00001eb334650
Sobic.003G097100,Zm00001eb334670
Sobic.003G097100,Zm00001eb334680
Sobic.003G097100,Zm00001eb334690
Sobic.003G097100,Zm00001eb334700
Sobic.003G097100,Zm00001eb334710
Sobic.003G097100,Zm00001eb334730
Sobic.003G097100,Zm00001eb334720
Sobic.003G096500,Zm00001eb334630
Sobic.003G096500,Zm00001eb334640
Sobic.003G096500,Zm00001eb334650
Sobic.003G096500,Zm00001eb334670
Sobic.003G096500,Zm00001eb334680
Sobic.003G096500,Zm00001eb334690
Sobic.003G096500,Zm00001eb334700
Sobic.003G096500,Zm00001eb334710
Sobic.003G096500,Zm00001eb334730
Sobic.003G096500,Zm00001eb334720
Sobic.003G096900,Zm00001eb334630
Sobic.003G096900,Zm00001eb334640
Sobic.003G096900,Zm00001eb334650
Sobic.003G096900,Zm00001eb334670
Sobic.003G096900,Zm00001eb334680
Sobic.003G096900,Zm00001eb334690
Sobic.003G096900,Zm00001eb334700
Sobic.003G096900,Zm00001eb334710
Sobic.003G096900,Zm00001eb334730
Sobic.003G096900,Zm00001eb334720
Sobic.007G214300,Zm00001eb034290
Sobic.007G214300,Zm00001eb034300
Sobic.007G214300,Zm00001eb034310
Sobic.007G214300,Zm00001eb034320
Sobic.007G213800,Zm00001eb034290
Sobic.007G214400,Zm00001eb034290
Sobic.007G214600,Zm00001eb034290
Sobic.007G213800,Zm00001eb034300
Sobic.007G214400,Zm00001eb034300
Sobic.007G214600,Zm00001eb034300
Sobic.007G213800,Zm00001eb034310
Sobic.007G214400,Zm00001eb034310
Sobic.007G214600,Zm00001eb034310
Sobic.007G213800,Zm00001eb034320
Sobic.007G214400,Zm00001eb034320
Sobic.007G214600,Zm00001eb034320
Sobic.006G069100,Zm00001eb083900
Sobic.006G069100,Zm00001eb083890
Sobic.006G069100,Zm00001eb083880
Sobic.006G069100,Zm00001eb083930
Sobic.009G175600,Zm00001eb290810
Sobic.009G175600,Zm00001eb290800
Sobic.009G175600,Zm00001eb290830
Sobic.009G175600,Zm00001eb290840
Sobic.009G175600,Zm00001eb290820
Sobic.009G175600,Zm00001eb290850
Sobic.009G175600,Zm00001eb290870
Sobic.008G026900,Zm00001eb405880
Sobic.003G312100,Zm00001eb151800
Sobic.003G312100,Zm00001eb151810
Sobic.003G312100,Zm00001eb151820
Sobic.003G312100,Zm00001eb151850
Sobic.003G312100,Zm00001eb151860
Sobic.003G103701,Zm00001eb126710
Sobic.005G167700,Zm00001eb065260
Sobic.005G167700,Zm00001eb114480
Sobic.005G167700,Zm00001eb114460
Sobic.005G167700,Zm00001eb114470
Sobic.005G167700,Zm00001eb114500
Sobic.005G167700,Zm00001eb114490
Sobic.005G200800,Zm00001eb115560
Sobic.005G200800,Zm00001eb115620
Sobic.005G200800,Zm00001eb115630
Sobic.005G200800,Zm00001eb115600
Sobic.002G376600,Zm00001eb327590
Sobic.002G376600,Zm00001eb327640
Sobic.002G376600,Zm00001eb327620
Sobic.002G376600,Zm00001eb327610
Sobic.002G376600,Zm00001eb327690
Sobic.002G376600,Zm00001eb327600
Sobic.002G376600,Zm00001eb327660
Sobic.002G376500,Zm00001eb327590
Sobic.002G376500,Zm00001eb327640
Sobic.002G376500,Zm00001eb327620
Sobic.002G376500,Zm00001eb327610
Sobic.002G376500,Zm00001eb327690
Sobic.002G376500,Zm00001eb327600
Sobic.002G376500,Zm00001eb327660
Sobic.002G376300,Zm00001eb327590
Sobic.002G376300,Zm00001eb327640
Sobic.002G376300,Zm00001eb327620
Sobic.002G376300,Zm00001eb327610
Sobic.002G376300,Zm00001eb327690
Sobic.002G376300,Zm00001eb327600
Sobic.002G376300,Zm00001eb327660
Sobic.002G377300,Zm00001eb327590
Sobic.002G377300,Zm00001eb327640
Sobic.002G377300,Zm00001eb327620
Sobic.002G377300,Zm00001eb327610
Sobic.002G377300,Zm00001eb327690
Sobic.002G377300,Zm00001eb327600
Sobic.002G377300,Zm00001eb327660
Sobic.009G045100,Zm00001eb354180
