SorghumGene,Sorghum_family,Sorghum_Action,Sorghum_RecatAction,Ortholog,Maize_gene_ID,Maize_Action,Maize_RecatAction
Sobic.001G034300,Dof,No activity,No Activity,GRMZM2G017470,Zm00001eb062640,No activity,
Sobic.001G034300,Dof,No activity,No Activity,GRMZM2G144172,Zm00001eb211700,Activator,
Sobic.001G078700,Dof,Activator,,GRMZM2G084130,Zm00001eb214170,No activity,
Sobic.001G078700,Dof,Activator,,GRMZM2G108865,Zm00001eb058480,Activator,
Sobic.001G086400,MIKC_MADS,Activator,,GRMZM2G071620,Zm00001eb214740,Activator,
Sobic.001G086400,MIKC_MADS,Activator,,GRMZM2G087095,Zm00001eb057560,No activity,
Sobic.001G105000,bHLH,Activator,,GRMZM2G092091,Zm00001eb055990,Activator,
Sobic.001G105000,bHLH,Activator,,GRMZM2G385543,Zm00001eb215610,No activity,
Sobic.001G127200,C3H,No activity,,GRMZM2G180979,Zm00001eb053870,No activity,
Sobic.001G127200,C3H,No activity,,GRMZM5G845366,Zm00001eb216910,Activator,
Sobic.001G147000,LBD,No activity,No Activity,GRMZM2G079185,Zm00001eb218120,Activator,
Sobic.001G147000,LBD,No activity,No Activity,GRMZM2G447176,Zm00001eb052620,No activity,
Sobic.001G154500,NF-YA,Activator,,GRMZM2G165488,Zm00001eb218610,Activator,
Sobic.001G154500,NF-YA,Activator,,GRMZM5G829103,Zm00001eb050320,No activity,
Sobic.001G179300,Dof,No activity,,GRMZM2G011832,Zm00001eb049160,Activator,
Sobic.001G179300,Dof,No activity,,GRMZM2G178767,Zm00001eb219550,No activity,No Activity
Sobic.001G199200,YABBY,No activity,No Activity,GRMZM2G074543,Zm00001eb220660,No activity,
Sobic.001G199200,YABBY,No activity,No Activity,GRMZM2G167824,Zm00001eb043940,Activator,
Sobic.001G253900,HD-ZIP,No activity,No Activity,GRMZM2G097349,Zm00001eb048440,No activity,
Sobic.001G253900,HD-ZIP,No activity,No Activity,GRMZM5G803812,Zm00001eb223300,Activator,
Sobic.001G332500,WRKY,No activity,,GRMZM2G171428,Zm00001eb393300,Activator,
Sobic.001G332500,WRKY,No activity,,GRMZM2G425430,Zm00001eb020390,No activity,
Sobic.001G385800,NAC,No activity,No Activity,GRMZM2G011598,Zm00001eb015630,No activity,
Sobic.001G385800,NAC,No activity,No Activity,GRMZM2G042494,Zm00001eb395320,Activator,
Sobic.001G389000,WRKY,No activity,,GRMZM2G030272,Zm00001eb015320,Activator,Activator
Sobic.001G389000,WRKY,No activity,,GRMZM2G060918,Zm00001eb395560,No activity,No Activity
Sobic.001G390800,bZIP,Activator,,GRMZM2G056099,Zm00001eb395640,No activity,
Sobic.001G390800,bZIP,Activator,,GRMZM2G174284,Zm00001eb015150,Activator,
Sobic.001G397900,MYB,Activator,Activator,GRMZM2G022686,Zm00001eb396390,Activator,Activator
Sobic.001G397900,MYB,Activator,Activator,GRMZM2G111990,Zm00001eb014430,No activity,
Sobic.001G428700,ERF,No activity,No Activity,GRMZM2G007406,Zm00001eb398110,No activity,
