SorghumGene,Sorghum_family,Sorghum_Action_used,Maize_Activator_v3ID,Maize_Activator_geneID,Maize_Activator_Maize_Action,Maize_NonActivator_v3ID,Maize_NonActivator_geneID,Maize_NonActivator_Maize_Action,N_Maize_Duplicates
Sobic.001G034300,Dof,No activity,GRMZM2G144172,Zm00001eb211700,Activator,GRMZM2G017470,Zm00001eb062640,No activity,2
Sobic.001G078700,Dof,Activator,GRMZM2G108865,Zm00001eb058480,Activator,GRMZM2G084130,Zm00001eb214170,No activity,2
Sobic.001G086400,MIKC_MADS,Activator,GRMZM2G071620,Zm00001eb214740,Activator,GRMZM2G087095,Zm00001eb057560,No activity,2
Sobic.001G105000,bHLH,Activator,GRMZM2G092091,Zm00001eb055990,Activator,GRMZM2G385543,Zm00001eb215610,No activity,2
Sobic.001G127200,C3H,No activity,GRMZM5G845366,Zm00001eb216910,Activator,GRMZM2G180979,Zm00001eb053870,No activity,2
Sobic.001G147000,LBD,No activity,GRMZM2G079185,Zm00001eb218120,Activator,GRMZM2G447176,Zm00001eb052620,No activity,2
Sobic.001G154500,NF-YA,Activator,GRMZM2G165488,Zm00001eb218610,Activator,GRMZM5G829103,Zm00001eb050320,No activity,2
Sobic.001G179300,Dof,No activity,GRMZM2G011832,Zm00001eb049160,Activator,GRMZM2G178767,Zm00001eb219550,No activity,2
Sobic.001G199200,YABBY,No activity,GRMZM2G167824,Zm00001eb043940,Activator,GRMZM2G074543,Zm00001eb220660,No activity,2
Sobic.001G253900,HD-ZIP,No activity,GRMZM5G803812,Zm00001eb223300,Activator,GRMZM2G097349,Zm00001eb048440,No activity,2
Sobic.001G332500,WRKY,No activity,GRMZM2G171428,Zm00001eb393300,Activator,GRMZM2G425430,Zm00001eb020390,No activity,2
Sobic.001G385800,NAC,No activity,GRMZM2G042494,Zm00001eb395320,Activator,GRMZM2G011598,Zm00001eb015630,No activity,2
Sobic.001G389000,WRKY,No activity,GRMZM2G030272,Zm00001eb015320,Activator,GRMZM2G060918,Zm00001eb395560,No activity,2
Sobic.001G390800,bZIP,Activator,GRMZM2G174284,Zm00001eb015150,Activator,GRMZM2G056099,Zm00001eb395640,No activity,2
Sobic.001G397900,MYB,Activator,GRMZM2G022686,Zm00001eb396390,Activator,GRMZM2G111990,Zm00001eb014430,No activity,2
Sobic.001G428700,ERF,No activity,GRMZM2G015281,Zm00001eb011550,Activator,GRMZM2G007406,Zm00001eb398110,No activity,2
Sobic.001G437300,LBD,No activity,GRMZM2G150594,Zm00001eb398670,Activator,GRMZM2G110913,Zm00001eb010570,No activity,2
Sobic.001G440800,MYB_related,Activator,GRMZM2G152319,Zm00001eb399030,Activator,GRMZM2G085427,Zm00001eb010280,No activity,2
Sobic.002G029400,NAC,Activator,GRMZM2G479980,Zm00001eb299720,Activator,GRMZM5G803888,Zm00001eb117730,No activity,2
Sobic.002G233800,HD-ZIP,Activator,GRMZM2G056600,Zm00001eb315750,Activator,GRMZM2G041127,Zm00001eb101280,No activity,2
Sobic.002G253000,NAC,Activator,GRMZM2G386163,Zm00001eb317170,Activator,GRMZM2G008374,Zm00001eb102160,No activity,2
Sobic.002G259600,NAC,No activity,GRMZM2G179049,Zm00001eb102540,Activator,GRMZM2G054277,Zm00001eb317890,No activity,2
Sobic.002G272900,HD-ZIP,No activity,GRMZM2G034113,Zm00001eb103330,Activator,GRMZM2G041462,Zm00001eb319390,No activity,2
Sobic.002G287400,Nin-like,No activity,GRMZM2G053298,Zm00001eb320950,Activator,GRMZM2G048582,Zm00001eb104260,No activity,2
Sobic.002G354900,GRAS,Activator,GRMZM2G431309,Zm00001eb107910,Activator,GRMZM2G098517,Zm00001eb325750,No activity,2
Sobic.002G357800,GRAS,Activator,GRMZM2G172657,Zm00001eb326020,Activator,GRMZM2G019060,Zm00001eb108090,No activity,2
Sobic.002G369800,NF-YB,Activator,GRMZM2G384528,Zm00001eb327140,Activator,GRMZM2G180947,Zm00001eb108760,No activity,2
Sobic.002G418200,B3,Activator,GRMZM2G158162,Zm00001eb330690,Activator,GRMZM2G172621,Zm00001eb111570,No activity,2
Sobic.003G031100,bHLH,Activator,GRMZM2G333582,Zm00001eb337860,Activator,GRMZM2G397755,Zm00001eb120960,No activity,2
Sobic.003G076500,MYB,No activity,GRMZM2G020772,Zm00001eb124630,Activator,GRMZM2G079458,Zm00001eb335690,No activity,2
Sobic.003G076600,MYB_related,No activity,GRMZM2G020772,Zm00001eb124630,Activator,GRMZM2G176568,Zm00001eb335680,No activity,2
Sobic.003G087600,MYB,Activator,GRMZM2G096358,Zm00001eb335060,Activator,GRMZM2G162709,Zm00001eb125520,No activity,2
Sobic.003G129000,MYB,Activator,GRMZM2G312419,Zm00001eb332860,Activator,GRMZM2G083239,Zm00001eb128750,No activity,2
Sobic.003G150400,Trihelix,No activity,GRMZM5G818655,Zm00001eb130740,Activator,GRMZM2G305362,Zm00001eb340550,No activity,2
Sobic.003G191800,bHLH,Activator,GRMZM2G081816,Zm00001eb159960,Activator,GRMZM2G164341,Zm00001eb356930,No activity,2
Sobic.003G194600,C2H2,No activity,GRMZM2G027333,Zm00001eb357220,Activator,GRMZM2G177693,Zm00001eb160120,No activity,2
Sobic.003G226600,WRKY,Activator,GRMZM2G149683,Zm00001eb358680,Activator,GRMZM2G105140,Zm00001eb159410,No activity,2
Sobic.003G236701,C3H,Activator,GRMZM2G157927,Zm00001eb158610,Activator,GRMZM5G830949,Zm00001eb359300,No activity,2
Sobic.003G253500,Trihelix,No activity,GRMZM2G080583,Zm00001eb157080,Activator,GRMZM2G163157,Zm00001eb360120,No activity,2
Sobic.003G254900,NAC,Activator,GRMZM2G163843,Zm00001eb360260,Activator,GRMZM2G122615,Zm00001eb156890,No activity,2
Sobic.003G294600,HB-PHD,Activator,GRMZM2G314546,Zm00001eb153100,Activator,GRMZM2G351018,Zm00001eb371020,No activity,2
Sobic.003G298600,ARF,No activity,GRMZM2G056120,Zm00001eb152940,Activator,GRMZM5G874163,Zm00001eb370810,No activity,2
Sobic.003G329500,bZIP,Activator,GRMZM2G125243,Zm00001eb369280,Activator,GRMZM2G019907,Zm00001eb150360,No activity,2
Sobic.003G346500,NF-YB,No activity,GRMZM5G866699,Zm00001eb368250,Activator,GRMZM2G303465,Zm00001eb148850,No activity,2
Sobic.003G365600,MYB_related,Activator,GRMZM2G027914,Zm00001eb147010,Activator,GRMZM2G143640,Zm00001eb366790,No activity,2
Sobic.003G408400,TCP,No activity,GRMZM2G092214,Zm00001eb142960,Activator,GRMZM2G034638,Zm00001eb364110,No activity,2
Sobic.004G003700,Trihelix,No activity,GRMZM2G111760,Zm00001eb229400,Activator,GRMZM2G037128,Zm00001eb209880,No activity,2
Sobic.004G012100,bHLH,Activator,GRMZM5G856837,Zm00001eb229950,Activator,GRMZM2G314882,Zm00001eb209480,No activity,2
Sobic.004G107900,bZIP,Activator,GRMZM2G052102,Zm00001eb204490,Activator,GRMZM2G158313,Zm00001eb238570,No activity,2
Sobic.004G115000,bHLH,No activity,GRMZM2G064638,Zm00001eb238140,Activator,GRMZM2G085751,Zm00001eb204110,No activity,2
Sobic.004G170700,Trihelix,No activity,GRMZM2G469873,Zm00001eb181760,Activator,GRMZM2G037823,Zm00001eb243260,No activity,2
Sobic.004G178500,ARF,No activity,GRMZM2G702026,Zm00001eb243930,Activator,GRMZM2G137413,Zm00001eb182260,No activity,2
Sobic.004G191700,NAC,Activator,GRMZM5G898290,Zm00001eb183190,Activator,GRMZM2G146380,Zm00001eb245030,No activity,2
Sobic.004G216900,MYB,Activator,GRMZM2G027697,Zm00001eb247370,Activator,GRMZM2G043792,Zm00001eb184890,No activity,2
Sobic.004G228400,bHLH,Activator,GRMZM2G045883,Zm00001eb255490,Activator,GRMZM2G008691,Zm00001eb193920,No activity,2
Sobic.004G273000,G2-like,No activity,GRMZM2G070865,Zm00001eb187880,Activator,GRMZM2G060834,Zm00001eb251390,No activity,2
Sobic.004G279300,MYB_related,No activity,GRMZM2G170322,Zm00001eb187450,Activator,GRMZM2G029850,Zm00001eb250940,No activity,2
