SorghumGene,Ortholog
Sobic.001G502200,GRMZM2G056870
Sobic.001G501800,GRMZM2G401342
Sobic.001G501600,AC209858_4_FG004
Sobic.001G517900,GRMZM2G409976
Sobic.001G505000,GRMZM2G038485
Sobic.001G503600,GRMZM2G150915
Sobic.001G503500,GRMZM2G150867
Sobic.001G503200,GRMZM2G329159
Sobic.001G503100,GRMZM2G092483
Sobic.001G503000,GRMZM2G092542
Sobic.001G483100,GRMZM2G016511
Sobic.001G483300,GRMZM2G319057
Sobic.001G488000,GRMZM2G075459
Sobic.001G488400,GRMZM2G159456
Sobic.001G488500,GRMZM2G035243
Sobic.003G389100,GRMZM2G044055
Sobic.003G389000,GRMZM2G044092
Sobic.001G065100,GRMZM2G704093
Sobic.002G201000,GRMZM2G045748
Sobic.008G133500,GRMZM2G130332
Sobic.008G133600,GRMZM2G130332
Sobic.004G009600,GRMZM2G163849
Sobic.001G075600,GRMZM2G028286
Sobic.003G396400,GRMZM2G357926
Sobic.004G062300,GRMZM2G134528
Sobic.001G217200,GRMZM2G469551
Sobic.004G260100,GRMZM2G096370
Sobic.002G290300,AC233865_1_FG006
Sobic.004G248300,GRMZM2G375762
Sobic.004G234700,AC196008_1_FG004
Sobic.004G315700,GRMZM2G385925
Sobic.004G314000,GRMZM5G897224
Sobic.004G329700,GRMZM2G031257
Sobic.004G330100,GRMZM2G031257
Sobic.004G330300,GRMZM2G031257
Sobic.003G015400,GRMZM2G026868
Sobic.003G081800,GRMZM2G437097
Sobic.003G028000,GRMZM2G133168
Sobic.009G200300,AC231755_1_FG010
Sobic.010G259001,AC205968_3_FG001
Sobic.009G105200,GRMZM2G068323
Sobic.007G184800,GRMZM2G332294
Sobic.007G184600,GRMZM2G069594
Sobic.007G184400,GRMZM2G107336
Sobic.004G305300,GRMZM2G161180
Sobic.001G121600,AC233950_1_FG002
Sobic.004G350100,GRMZM2G108739
Sobic.001G251500,GRMZM2G168222
Sobic.001G255600,GRMZM2G044550
Sobic.001G055600,GRMZM2G397190
Sobic.003G142700,GRMZM2G363908
Sobic.001G482000,GRMZM2G000427
Sobic.005G164800,GRMZM2G049623
Sobic.001G476700,GRMZM2G031177
Sobic.003G428800,GRMZM2G057413
Sobic.001G516000,GRMZM2G099454
Sobic.001G157700,GRMZM2G114036
Sobic.001G157900,GRMZM2G414047
Sobic.001G158200,GRMZM2G414047
Sobic.002G382100,GRMZM2G171597
Sobic.003G209000,GRMZM2G042078
Sobic.008G028600,GRMZM2G005207
Sobic.003G325800,GRMZM2G372477
Sobic.002G353300,GRMZM2G102550
Sobic.002G353200,GRMZM2G102514
Sobic.002G353400,GRMZM2G055216
Sobic.002G353500,GRMZM2G058087
Sobic.001G073600,GRMZM2G072806
Sobic.001G072700,GRMZM5G838226
Sobic.010G050500,AC197699_3_FG001
Sobic.004G260400,GRMZM2G024211
Sobic.003G014500,GRMZM2G068217
Sobic.002G001500,GRMZM2G404922
Sobic.001G484300,GRMZM2G064663
Sobic.001G484000,GRMZM2G080524
Sobic.001G484100,GRMZM2G080524
Sobic.001G529700,GRMZM2G013986
Sobic.007G035000,GRMZM2G021277
Sobic.007G035500,GRMZM2G021277
Sobic.007G035300,GRMZM2G021388
Sobic.003G195500,GRMZM5G838579
Sobic.003G252100,GRMZM2G159357
Sobic.003G252200,GRMZM2G159357
Sobic.003G078600,AC200725_4_FG003
Sobic.007G047700,GRMZM2G003715
Sobic.010G029300,GRMZM5G839794
Sobic.007G123800,GRMZM5G844703
Sobic.001G151100,GRMZM2G340749
Sobic.009G168900,GRMZM2G075782
Sobic.009G169100,GRMZM2G035601
Sobic.001G456400,GRMZM2G329923
Sobic.002G238100,GRMZM2G404929
Sobic.002G238200,GRMZM2G404929
Sobic.006G115400,AC185655_3_FG005
Sobic.006G074500,GRMZM2G136306
Sobic.004G170800,GRMZM2G037865
Sobic.007G138600,GRMZM2G152543
Sobic.003G191500,GRMZM2G342693
Sobic.004G333000,AC202076_3_FG009
Sobic.010G017400,AC234164_1_FG004
Sobic.003G029600,AC155622_2_FG001
Sobic.007G165900,GRMZM2G109977
Sobic.009G037800,GRMZM2G059517
Sobic.007G209500,GRMZM2G022499
Sobic.003G292000,GRMZM2G177929
Sobic.003G291600,GRMZM2G177883
Sobic.003G291700,GRMZM2G177883
Sobic.003G292800,GRMZM2G026746
Sobic.003G329600,GRMZM2G167276
Sobic.001G292400,GRMZM2G070943
Sobic.006G114500,GRMZM2G106810
Sobic.009G257500,AC233870_1_FG004
Sobic.008G160500,GRMZM2G015097
Sobic.007G048600,GRMZM2G078906
Sobic.002G162800,GRMZM2G092137
Sobic.003G387700,GRMZM2G397509
Sobic.003G098300,GRMZM2G375249
Sobic.003G327600,GRMZM2G130558
Sobic.003G339100,GRMZM2G330159
Sobic.003G236600,GRMZM2G370193
Sobic.009G253700,AC226537_2_FG001
Sobic.002G276600,GRMZM2G147422
Sobic.007G139900,GRMZM2G067235
Sobic.003G349600,GRMZM5G804618
Sobic.003G348900,AC210170_5_FG008
Sobic.003G352200,GRMZM2G081919
Sobic.001G437500,GRMZM2G165944
Sobic.009G208000,AC206165_3_FG007
Sobic.009G208300,AC204763_2_FG001
Sobic.007G118301,GRMZM2G324999
